code,series,brand,pliers,conductor,sheath
SSH-003T-P0.2-H,SH,JST,PA-09,32:1.0|28:1.0,32:1.0|28:1.0
SSH-003GA-P0.2,SHD,JST,PA-09,32:1.0|28:1.0,32:1.0|28:1.0
SSHL-003T-P0.2,SHL,JST,PA-09,32:1.0|28:1.0,32:1.0|28:1.0
SSHL-003GA1-P0.2,SHLD,JST,PA-09,32:1.0|28:1.0,32:1.0|28:1.0
SSHL-002T-P0.2,GH,JST,PA-09,28:1.0,28:1.0
SZN-002T-P0.7K,SZN,JST,PA-09,28:1.0,28:1.4
SZN-003T-P0.7K,SZN,JST,PA-09,28:1.0,28:1.4
SZE-002T-P0.3,ZE,JST,PA-09/PA-20,24:1.6,24:1.9
SZH-002T-P0.5,ZH,JST,PA-09,28:1.0,28:1.0
SZH-003T-P0.5,ZH/ZM,JST,PA-09,32:1.0|28:1.0|24:1.0|22:1.0,32:1.0|28:1.0|24:1.0|22:1.0
SWPR-001T-P025,JWPF,JST,PA-09/PA-20,24:1.6,24:1.6
SPHD-001T-P0.5,PA/PHD,JST,PA-09/PA-20,24:1.6|22:1.6,24:1.9|22:1.9
SPHD-002T-P0.5,PA/PHD,JST,PA-09/PA-20,28:1.6|24:1.6,28:1.6|24:1.9
SPA-001T-P0.5,PA,JST,PA-09/PA-20,24:1.6|22:1.6,24:1.9|22:1.9
SPAL-001T-P0.5,PAL,JST,PA-09/PA-20,24:1.6,24:1.6
SPAL-002T-P0.5,PAL,JST,PA-09/PA-20,28:1.6,28:1.6
SPH-001T-P0.5L,PAD,JST,PA-09/PA-20,24:1.6|22:1.6,24:1.9|22:1.9
SPH-002T-P0.5L,PH/PAD/KRW,JST,PA-09/PA-20,24:1.6|22:1.6,24:1.9|22:1.9
SPND-001T-C0.5,PND/PNI,JST,PA-09/PA-20,24:1.6,24:1.9|22:1.6|20:1.9
SPND-002T-C0.5,PND/PNI,JST,PA-09/PA-20,24:1.6|22:1.6,24:1.9|22:1.9
SPH-002T-P0.5S,PH,JST,PA-09,28:1.0|24:1.0,28:1.4|24:1.4
SPH-004T-P0.5S,PH,JST,PA-09,28:X|24:1.0,28:X|24:1.0
SPUD-001T-P0.5,PUD,JST,PA-09/PA-20,24:1.6|22:1.6,24:1.6|22:1.6
SEH-001T-P0.6,EH,JST,PA-09/PA-20,28:1.4|24:1.6|22:1.6,24:1.9|22:1.9|20:1.9
SHF-001T-0.8BS,NH/SM,JST,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.9|22:1.9|20:1.9
SSF-21T-P1.4,BL/HL/MWP/SL,JST,PA-20,24:2.0|22:2.0|20:2.0,22:2.3|20:2.0|18:2.0
SVH-21T-P1.1,VH/VB/NV,JST,PA-20,24:2.0|22:2.0|20:2.0,22:2.3|20:2.3|18:2.3
SVU-21T-P0.6,VU,JST,PA-20,24:2.0|22:2.0,22:2.3|20:2.3
SYM-001T-P0.6,SM/RCY,JST,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.9|22:1.9|20:1.9
SYF-001T-P0.6,RCY,JST,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.9|22:1.9|20:1.9
SXA-001T-P0.6,XA/XM/XAD,JST,PA-09/PA-20,24:1.6,24:1.9
SXH-001T-P0.6,XH,JST,PA-09/PA-20,28:1.4|24:1.6|22:1.6,24:1.9|22:1.9|20:1.9
SCZH-002T-P0.5,RWZ/CZ/OTZ,JST,PA-09,28:1.0|24:1.0,28:1.0|24:1.0
SMM-003T-P0.5,ZM,JST,PA-09,28:1.0|24:1.0,28:1.0|24:1.0
SMR-001T-P0.6,HM,JST,PA-09/PA-20,24:1.6,24:1.9
50058-8100,PicoBlade,Molex,PA-09,32:1.0|28:1.0,32:1.0|28:1.0
50079-8100,PicoBlade,Molex,PA-09,32:1.0|28:1.0,32:1.0|28:1.0
50212-8100,Micro-Latch,Molex,PA-09,32:1.0|28:1.0,28:1.4|24:1.4|22:1.4
50011-8100,MicroBlade,Molex,PA-09,32:1.0|28:1.0|24:1.0|22:1.0|20:1.0,32:1.0|28:1.0|24:1.0|22:1.0|20:1.0
50351-8000,Mini-Lock,Molex,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.9|22:1.9|20:1.9
50752-8100,Mini-Lock,Molex,PA-09/PA-20,24:1.6|22:1.6|20:1.6|18:1.6,24:1.9|22:1.9|20:1.9|18:1.9
5263PBTL,Mini-SPOX,Molex,PA-09/PA-20,24:1.6|22:1.6|20:1.6|18:1.6,24:1.6|22:1.6|20:1.6|18:1.6
5159TL,KK,Molex,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.6|22:1.6|20:1.6
2578-(P909),KK,Molex,PA-20,22:1.9,22:2.3
50802-8100,Mini-Latch,Molex,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.6|22:1.6|20:1.6
43030-0007,Micro-Fit,Molex,PA-09/PA-20,24:1.6|22:1.6,24:1.6|22:1.6
43030-0010,Micro-Fit,Molex,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.6|22:1.6|20:1.6
50217-8100,-,Molex,PA-20,24:1.9|22:1.9|20:1.9,24:2.3|22:2.3|20:2.3
5194TL,SPOX,Molex,PA-20,24:1.9|22:1.9|20:1.9|18:1.9,24:2.3|22:2.3|20:2.3|18:2.3
5556T2L,Mini-Fit,Molex,PA-09/PA-20,24:1.6|22:1.6|20:1.6,24:1.9|22:1.9|20:1.9
70058-0004,C-Grid/SL,Molex,PA-09,28:1.4|24:1.6,
50394-8100,Milli-Grid,Molex,PA-09,32:1.0|28:1.4,
87421-0000,Pico-SPOX,Molex,PA-09,32:1.0|28:1.4,
182206-2,Ampmodu,AMP,PA-09/PA-20,24:1.6|22:1.6,
175288-2,Dynamic,AMP,PA-20,22:2.3|20:2.3,
926896-1,MATE-N-LOK,AMP,PA-20,22:2.0,22:2.3
770902-1,MATE-N-LOK,AMP,PA-09/PA-20,24:1.6,24:1.9
170363-1,Univ. MATE-N-LOK,AMP,PA-09/PA-20,24:1.6,24:1.9
794059-1,Mini-Univ. MATE-N-LOK,AMP,PA-09,28:1.4,24:1.9
IL-AG5-C1-5000,IL-AG5/7/9,JAE,PA-20,22:2.0,22:2.3
M34S75C4F1,MX34,JAE,PA-20,24:2.0|22:2.0,
IL-S-C2-SC-0001,IL-Z,JAE,PA-09/PA-20,24:1.6|22:1.6,
IL-G-C2-SC-0001,IL-G,JAE,PA-09/PA-20,28:1.4|24:1.6|22:1.6,28:1.4|24:1.6|22:1.6
DF11-2428SC,DF11,HRS,PA-09/PA-20,24:1.6|22:1.6,
DF3-2428SC,DF3,HRS,PA-09/PA-20,24:1.6|22:1.6,
